time,ax,ay,az,gx,gy,gz,mx,my,mz,depth,current,voltage,temperature
2022-12-13 18:57:24.907195,-0.03,0.14,1.14,-0.15,-1.37,2.0,-0.55,0.96,-0.54,,,,
2022-12-13 18:57:24.950296,,,,,,,,,,-0.08,,,
2022-12-13 18:57:24.952127,,,,,,,,,,,,,28.44
2022-12-13 18:57:25.044227,,,,,,,,,,,32.0,,
2022-12-13 18:57:25.044969,,,,,,,,,,,,12.07,
2022-12-13 18:57:25.460180,0.0,-0.13,0.94,-1.42,0.27,1.38,-0.57,0.97,-0.54,,,,
2022-12-13 18:57:25.503612,,,,,,,,,,-0.08,,,
2022-12-13 18:57:25.505049,,,,,,,,,,,,,28.44
2022-12-13 18:57:26.013275,-0.03,0.03,1.12,-1.71,-1.27,1.92,-0.55,0.96,-0.55,,,,
2022-12-13 18:57:26.055664,,,,,,,,,,-0.08,,,
2022-12-13 18:57:26.057403,,,,,,,,,,,,,28.44
2022-12-13 18:57:26.566093,-0.13,0.09,1.1,-0.33,-0.17,2.23,-0.55,0.97,-0.54,,,,
2022-12-13 18:57:26.568569,,,,,,,,,,,1.5,,
2022-12-13 18:57:26.569019,,,,,,,,,,,,12.24,
2022-12-13 18:57:26.609372,,,,,,,,,,-0.07,,,
2022-12-13 18:57:26.610968,,,,,,,,,,,,,28.44
2022-12-13 18:57:27.119011,-0.01,0.02,1.03,2.11,-1.75,3.49,-0.54,0.97,-0.56,,,,
2022-12-13 18:57:27.162180,,,,,,,,,,-0.07,,,
2022-12-13 18:57:27.163461,,,,,,,,,,,,,28.44
2022-12-13 18:57:27.671840,0.0,-0.02,1.01,-1.28,1.02,-0.5,-0.54,0.98,-0.55,,,,
2022-12-13 18:57:27.714555,,,,,,,,,,-0.07,,,
2022-12-13 18:57:27.716271,,,,,,,,,,,,,28.44
2022-12-13 18:57:28.093819,,,,,,,,,,,1.5,,
2022-12-13 18:57:28.094353,,,,,,,,,,,,12.24,
2022-12-13 18:57:28.224589,0.0,-0.01,1.02,-2.48,-1.24,1.56,-0.54,0.97,-0.56,,,,
2022-12-13 18:57:28.267552,,,,,,,,,,-0.07,,,
2022-12-13 18:57:28.269506,,,,,,,,,,,,,28.44
2022-12-13 18:57:28.777170,0.0,-0.02,1.02,0.45,-0.44,1.53,-0.54,0.98,-0.55,,,,
2022-12-13 18:57:28.820141,,,,,,,,,,-0.07,,,
2022-12-13 18:57:28.821792,,,,,,,,,,,,,28.44
2022-12-13 18:57:29.330384,0.0,-0.0,1.01,-2.49,0.66,2.16,-0.55,0.97,-0.55,,,,
2022-12-13 18:57:29.373482,,,,,,,,,,-0.07,,,
2022-12-13 18:57:29.374638,,,,,,,,,,,,,28.44
2022-12-13 18:57:29.618316,,,,,,,,,,,1.5,,
2022-12-13 18:57:29.618870,,,,,,,,,,,,12.24,
2022-12-13 18:57:29.883130,0.01,-0.0,1.02,-0.17,-0.48,2.87,-0.54,0.97,-0.55,,,,
2022-12-13 18:57:29.925857,,,,,,,,,,-0.07,,,
2022-12-13 18:57:29.927606,,,,,,,,,,,,,28.44
2022-12-13 18:57:30.435726,0.01,0.0,1.01,-0.91,-0.81,3.75,-0.54,0.97,-0.55,,,,
2022-12-13 18:57:30.478779,,,,,,,,,,-0.07,,,
2022-12-13 18:57:30.480472,,,,,,,,,,,,,28.44
2022-12-13 18:57:30.988275,0.02,0.0,1.02,-1.06,1.13,4.41,-0.54,0.97,-0.56,,,,
2022-12-13 18:57:31.031583,,,,,,,,,,-0.07,,,
2022-12-13 18:57:31.033140,,,,,,,,,,,,,28.44
2022-12-13 18:57:31.142853,,,,,,,,,,,1.25,,
2022-12-13 18:57:31.144132,,,,,,,,,,,,12.25,
2022-12-13 18:57:31.541292,0.02,-0.0,1.02,0.6,0.33,-0.74,-0.53,0.98,-0.54,,,,
2022-12-13 18:57:31.584577,,,,,,,,,,-0.06,,,
2022-12-13 18:57:31.585970,,,,,,,,,,,,,28.44
2022-12-13 18:57:32.093957,0.02,-0.01,1.02,-0.52,-2.06,3.13,-0.53,0.98,-0.55,,,,
2022-12-13 18:57:32.137109,,,,,,,,,,-0.07,,,
2022-12-13 18:57:32.138719,,,,,,,,,,,,,28.44
2022-12-13 18:57:32.646837,0.01,-0.01,1.02,-1.58,-0.15,0.41,-0.54,0.98,-0.55,,,,
2022-12-13 18:57:32.667043,,,,,,,,,,,1.38,,
2022-12-13 18:57:32.667618,,,,,,,,,,,,12.24,
2022-12-13 18:57:32.689795,,,,,,,,,,-0.07,,,
2022-12-13 18:57:32.691725,,,,,,,,,,,,,28.44
2022-12-13 18:57:33.199901,0.01,-0.01,1.02,-0.68,-0.52,1.36,-0.54,0.98,-0.55,,,,
2022-12-13 18:57:33.243053,,,,,,,,,,-0.07,,,
2022-12-13 18:57:33.244329,,,,,,,,,,,,,28.44
2022-12-13 18:57:33.752504,0.02,-0.01,1.02,-0.3,0.32,0.2,-0.54,0.97,-0.55,,,,
2022-12-13 18:57:33.795761,,,,,,,,,,-0.07,,,
2022-12-13 18:57:33.797258,,,,,,,,,,,,,28.45
2022-12-13 18:57:34.191676,,,,,,,,,,,1.38,,
2022-12-13 18:57:34.192277,,,,,,,,,,,,12.25,
2022-12-13 18:57:34.305412,0.02,-0.01,1.02,-1.42,-0.54,1.38,-0.54,0.97,-0.55,,,,
2022-12-13 18:57:34.348180,,,,,,,,,,-0.07,,,
2022-12-13 18:57:34.349944,,,,,,,,,,,,,28.45
