time,ax,ay,az,gx,gy,gz,mx,my,mz,depth,current,voltage,temperature
2022-12-13 19:00:50.551450,0.02,0.0,1.01,-1.72,0.4,2.8,-0.58,0.92,-0.58,,,,
2022-12-13 19:00:50.594594,,,,,,,,,,-0.06,,,
2022-12-13 19:00:50.597116,,,,,,,,,,,,,28.84
2022-12-13 19:00:50.857965,,,,,,,,,,,1.0,,
2022-12-13 19:00:50.858368,,,,,,,,,,,,12.24,
2022-12-13 19:00:51.104262,0.02,0.0,1.02,-1.48,-0.78,1.65,-0.59,0.92,-0.58,,,,
2022-12-13 19:00:51.147646,,,,,,,,,,-0.07,,,
2022-12-13 19:00:51.149497,,,,,,,,,,,,,28.85
2022-12-13 19:00:51.657379,0.02,0.01,1.02,0.12,-0.47,2.63,-0.58,0.92,-0.58,,,,
2022-12-13 19:00:51.700588,,,,,,,,,,-0.06,,,
2022-12-13 19:00:51.702471,,,,,,,,,,,,,28.85
2022-12-13 19:00:52.210269,0.02,0.0,1.02,-0.12,-0.32,2.32,-0.58,0.92,-0.58,,,,
2022-12-13 19:00:52.253770,,,,,,,,,,-0.07,,,
2022-12-13 19:00:52.261654,,,,,,,,,,,,,28.85
2022-12-13 19:00:52.382413,,,,,,,,,,,1.13,,
2022-12-13 19:00:52.382877,,,,,,,,,,,,12.25,
2022-12-13 19:00:52.762963,0.02,0.0,1.02,-2.24,-0.35,1.54,-0.58,0.93,-0.58,,,,
2022-12-13 19:00:52.806182,,,,,,,,,,-0.07,,,
2022-12-13 19:00:52.849644,,,,,,,,,,,,,28.85
2022-12-13 19:00:53.316175,0.02,0.01,1.01,-0.22,-0.32,0.97,-0.58,0.92,-0.58,,,,
2022-12-13 19:00:53.359064,,,,,,,,,,-0.06,,,
2022-12-13 19:00:53.394429,,,,,,,,,,,,,28.85
2022-12-13 19:00:53.868609,0.01,0.01,1.02,0.42,-1.17,2.9,-0.59,0.92,-0.59,,,,
2022-12-13 19:00:53.907027,,,,,,,,,,,1.25,,
2022-12-13 19:00:53.939625,,,,,,,,,,,,12.23,
2022-12-13 19:00:53.940064,,,,,,,,,,-0.06,,,
2022-12-13 19:00:53.940409,,,,,,,,,,,,,28.86
2022-12-13 19:00:54.421850,0.02,0.0,1.02,-1.82,0.11,1.87,-0.58,0.93,-0.57,,,,
2022-12-13 19:00:54.464697,,,,,,,,,,-0.06,,,
2022-12-13 19:00:54.475202,,,,,,,,,,,,,28.86
2022-12-13 19:00:54.974358,0.02,0.01,1.01,-0.51,-0.1,1.46,-0.58,0.92,-0.58,,,,
2022-12-13 19:00:55.017422,,,,,,,,,,-0.06,,,
2022-12-13 19:00:55.052188,,,,,,,,,,,,,28.86
2022-12-13 19:00:55.431822,,,,,,,,,,,1.25,,
2022-12-13 19:00:55.432349,,,,,,,,,,,,12.23,
2022-12-13 19:00:55.526948,0.03,0.01,1.02,-0.3,-0.19,3.68,-0.58,0.93,-0.58,,,,
2022-12-13 19:00:55.570353,,,,,,,,,,-0.06,,,
2022-12-13 19:00:55.599913,,,,,,,,,,,,,28.86
2022-12-13 19:00:56.080324,0.03,-0.0,1.02,-0.46,-0.22,3.03,-0.58,0.93,-0.58,,,,
2022-12-13 19:00:56.122882,,,,,,,,,,-0.06,,,
2022-12-13 19:00:56.166416,,,,,,,,,,,,,28.86
2022-12-13 19:00:56.632698,0.02,0.0,1.02,-0.86,-0.51,3.02,-0.58,0.93,-0.58,,,,
2022-12-13 19:00:56.675832,,,,,,,,,,-0.06,,,
2022-12-13 19:00:56.677528,,,,,,,,,,,,,28.87
2022-12-13 19:00:57.128993,,,,,,,,,,,1.13,,
2022-12-13 19:00:57.170058,,,,,,,,,,,,12.24,
2022-12-13 19:00:57.185778,0.03,0.0,1.02,-0.67,-0.74,3.07,-0.58,0.93,-0.57,,,,
2022-12-13 19:00:57.229442,,,,,,,,,,-0.06,,,
2022-12-13 19:00:57.230849,,,,,,,,,,,,,28.87
2022-12-13 19:00:57.738398,0.02,0.0,1.02,-0.75,-0.83,1.88,-0.58,0.93,-0.58,,,,
2022-12-13 19:00:57.781804,,,,,,,,,,-0.06,,,
2022-12-13 19:00:57.805905,,,,,,,,,,,,,28.87
2022-12-13 19:00:58.291213,0.02,0.0,1.0,-0.68,-0.82,3.44,-0.57,0.93,-0.58,,,,
2022-12-13 19:00:58.334439,,,,,,,,,,-0.06,,,
2022-12-13 19:00:58.362907,,,,,,,,,,,,,28.87
2022-12-13 19:00:58.653643,,,,,,,,,,,1.5,,
2022-12-13 19:00:58.654178,,,,,,,,,,,,12.24,
2022-12-13 19:00:58.844397,0.01,0.0,1.02,-0.4,-0.67,2.46,-0.58,0.93,-0.58,,,,
2022-12-13 19:00:58.886952,,,,,,,,,,-0.06,,,
2022-12-13 19:00:58.930763,,,,,,,,,,,,,28.87
2022-12-13 19:00:59.396578,0.0,0.0,1.02,-1.39,0.36,1.37,-0.58,0.93,-0.58,,,,
2022-12-13 19:00:59.440067,,,,,,,,,,-0.07,,,
2022-12-13 19:00:59.473632,,,,,,,,,,,,,28.87
2022-12-13 19:00:59.949710,0.02,0.01,1.02,-1.15,-0.52,2.63,-0.58,0.93,-0.58,,,,
2022-12-13 19:00:59.993599,,,,,,,,,,-0.07,,,
2022-12-13 19:00:59.994145,,,,,,,,,,,,,28.87
2022-12-13 19:01:00.178409,,,,,,,,,,,1.25,,
2022-12-13 19:01:00.178894,,,,,,,,,,,,12.24,
